obsUnitId,collectionDate,NDVI,SPAD,plot_maxheight_cm,plot_maxwidth_cm
TTADDA_NARO_2023_F1P3,2023-07-16,,,52.0,71.25
TTADDA_NARO_2023_F1P3,2023-07-18,,34.25,,
TTADDA_NARO_2023_F1P3,2023-07-19,0.865,,,
TTADDA_NARO_2023_F1P3,2023-07-22,,,52.5,72.5
TTADDA_NARO_2023_F1P3,2023-07-24,0.855,35.325,,
TTADDA_NARO_2023_F1P3,2023-07-29,,,60.0,65.0
TTADDA_NARO_2023_F1P3,2023-08-01,0.835,29.65,,
TTADDA_NARO_2023_F1P3,2023-08-05,,,60.0,72.5
TTADDA_NARO_2023_F1P3,2023-08-06,0.77,,,
TTADDA_NARO_2023_F1P3,2023-08-09,,21.175,,
TTADDA_NARO_2023_F1P3,2023-08-12,0.715,,55.0,67.5
TTADDA_NARO_2023_F1P3,2023-08-15,,21.375,,
TTADDA_NARO_2023_F1P3,2023-08-19,0.68,,60.0,67.5
TTADDA_NARO_2023_F1P3,2023-08-22,,16.475,,
TTADDA_NARO_2023_F1P3,2023-08-27,0.435,,55.0,57.5
TTADDA_NARO_2023_F1P3,2023-08-29,,13.625,,
TTADDA_NARO_2023_F1P3,2023-09-04,0.3,,30.0,2.5
TTADDA_NARO_2023_F1P3,2023-09-11,,,,
TTADDA_NARO_2023_F1P4,2023-06-06,,,2.75,20.0
TTADDA_NARO_2023_F1P4,2023-06-07,0.18,,,
TTADDA_NARO_2023_F1P4,2023-06-11,,,4.5,25.5
TTADDA_NARO_2023_F1P4,2023-06-12,0.26,51.725,,
TTADDA_NARO_2023_F1P4,2023-06-17,,,13.5,40.5
TTADDA_NARO_2023_F1P4,2023-06-19,0.39,,,
TTADDA_NARO_2023_F1P4,2023-06-20,,47.275,,
TTADDA_NARO_2023_F1P4,2023-06-24,,,25.75,50.75
TTADDA_NARO_2023_F1P4,2023-06-26,0.4,,,
TTADDA_NARO_2023_F1P4,2023-06-27,,53.675,,
TTADDA_NARO_2023_F1P4,2023-07-02,,,32.5,56.25
TTADDA_NARO_2023_F1P4,2023-07-04,0.76,47.85,,
TTADDA_NARO_2023_F1P4,2023-07-08,,,37.75,60.0
TTADDA_NARO_2023_F1P4,2023-07-09,0.73,,,
TTADDA_NARO_2023_F1P4,2023-07-11,,43.75,,
TTADDA_NARO_2023_F1P4,2023-07-16,,,39.0,62.5
TTADDA_NARO_2023_F1P4,2023-07-18,,43.2,,
TTADDA_NARO_2023_F1P4,2023-07-19,0.86,,,
TTADDA_NARO_2023_F1P4,2023-07-22,,,42.5,62.5
TTADDA_NARO_2023_F1P4,2023-07-24,0.83,36.725,,
TTADDA_NARO_2023_F1P4,2023-07-29,,,50.0,60.0
TTADDA_NARO_2023_F1P4,2023-08-01,0.745,31.575,,
TTADDA_NARO_2023_F1P4,2023-08-05,,,38.0,57.5
TTADDA_NARO_2023_F1P4,2023-08-06,0.56,,,
TTADDA_NARO_2023_F1P4,2023-08-09,,25.15,,
TTADDA_NARO_2023_F1P4,2023-08-12,0.46,,27.5,57.5
TTADDA_NARO_2023_F1P4,2023-08-15,,23.2,,
TTADDA_NARO_2023_F1P4,2023-08-19,0.305,,35.0,5.0
TTADDA_NARO_2023_F1P4,2023-08-22,,5.675,,
TTADDA_NARO_2023_F1P4,2023-08-27,,,17.5,2.5
TTADDA_NARO_2023_F1P4,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P4,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P4,2023-09-11,,,,
TTADDA_NARO_2023_F1P5,2023-06-06,,,2.33333333333333,10.0
TTADDA_NARO_2023_F1P5,2023-06-07,0.19,,,
TTADDA_NARO_2023_F1P5,2023-06-11,,,4.0,20.6666666666667
TTADDA_NARO_2023_F1P5,2023-06-12,0.22,54.45,,
TTADDA_NARO_2023_F1P5,2023-06-17,,,12.0,36.5
TTADDA_NARO_2023_F1P5,2023-06-19,0.45,,,
TTADDA_NARO_2023_F1P5,2023-06-20,,49.875,,
TTADDA_NARO_2023_F1P5,2023-06-24,,,19.25,39.5
TTADDA_NARO_2023_F1P5,2023-06-26,0.495,,,
TTADDA_NARO_2023_F1P5,2023-06-27,,48.7,,
TTADDA_NARO_2023_F1P5,2023-07-02,,,31.75,51.25
TTADDA_NARO_2023_F1P5,2023-07-04,0.825,42.75,,
TTADDA_NARO_2023_F1P5,2023-07-08,,,43.5,53.75
TTADDA_NARO_2023_F1P5,2023-07-09,0.835,,,
TTADDA_NARO_2023_F1P5,2023-07-11,,42.25,,
TTADDA_NARO_2023_F1P5,2023-07-16,,,43.25,61.25
TTADDA_NARO_2023_F1P5,2023-07-18,,38.175,,
TTADDA_NARO_2023_F1P5,2023-07-19,0.85,,,
TTADDA_NARO_2023_F1P5,2023-07-22,,,52.5,62.5
TTADDA_NARO_2023_F1P5,2023-07-24,0.835,33.275,,
TTADDA_NARO_2023_F1P5,2023-07-29,,,52.5,60.0
TTADDA_NARO_2023_F1P5,2023-08-01,0.715,32.85,,
TTADDA_NARO_2023_F1P5,2023-08-05,,,47.5,52.5
TTADDA_NARO_2023_F1P5,2023-08-06,0.68,,,
TTADDA_NARO_2023_F1P5,2023-08-09,,32.0,,
TTADDA_NARO_2023_F1P5,2023-08-12,0.715,,42.5,45.0
TTADDA_NARO_2023_F1P5,2023-08-15,,21.725,,
TTADDA_NARO_2023_F1P5,2023-08-19,0.465,,40.0,37.5
TTADDA_NARO_2023_F1P5,2023-08-22,,8.75,,
TTADDA_NARO_2023_F1P5,2023-08-27,0.345,,40.0,27.5
TTADDA_NARO_2023_F1P5,2023-08-29,,10.15,,
TTADDA_NARO_2023_F1P5,2023-09-04,0.265,4.825,0.0,0.0
TTADDA_NARO_2023_F1P5,2023-09-11,,0.0,,
TTADDA_NARO_2023_F1P6,2023-06-06,,,2.75,14.0
TTADDA_NARO_2023_F1P6,2023-06-07,0.195,,,
TTADDA_NARO_2023_F1P6,2023-06-11,,,5.0,32.0
